Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
Bình Dương,2025-05-16T12:00,33.1,34.7,26.4,0.0,9.0,8.4,10.0,12,2,63,41.7
Bình Dương,2025-05-16T15:00,34.7,34.7,26.4,0.0,9.0,8.4,10.0,12,3,54,41.3
Bình Dương,2025-05-16T18:00,29.2,34.7,26.4,2.1,9.0,8.4,10.0,12,96,78,35.0
Bình Dương,2025-05-16T21:00,27.9,34.7,26.4,0.1,9.0,8.4,10.0,12,3,86,34.5
An Giang,2025-05-14T00:00,26.9,34.6,25.7,0.3,12.6,8.55,10.71,12,80,93,33.2
An Giang,2025-05-14T03:00,26.2,34.6,25.7,0.0,12.6,8.55,10.71,12,3,93,32.3
An Giang,2025-05-14T06:00,25.7,34.6,25.7,0.0,12.6,8.55,10.71,12,3,93,31.7
An Giang,2025-05-14T09:00,29.5,34.6,25.7,0.0,12.6,8.55,10.71,12,2,76,34.8
An Giang,2025-05-14T12:00,32.7,34.6,25.7,0.1,12.6,8.55,10.71,12,2,61,38.6
An Giang,2025-05-14T15:00,34.6,34.6,25.7,0.0,12.6,8.55,10.71,12,2,52,39.7
An Giang,2025-05-14T18:00,29.2,34.6,25.7,2.5,12.6,8.55,10.71,12,95,80,35.2
An Giang,2025-05-14T21:00,27.8,34.6,25.7,0.0,12.6,8.55,10.71,12,3,89,34.6
An Giang,2025-05-15T00:00,26.9,33.3,26.1,0.0,11.2,8.7,9.95,12,3,92,33.7
An Giang,2025-05-15T03:00,26.5,33.3,26.1,0.0,11.2,8.7,9.95,12,3,94,33.3
An Giang,2025-05-15T06:00,26.1,33.3,26.1,0.0,11.2,8.7,9.95,12,45,96,32.7
An Giang,2025-05-15T09:00,29.7,33.3,26.1,0.0,11.2,8.7,9.95,12,3,77,35.3
An Giang,2025-05-15T12:00,32.2,33.3,26.1,0.0,11.2,8.7,9.95,12,3,64,37.7
An Giang,2025-05-15T15:00,33.3,33.3,26.1,0.0,11.2,8.7,9.95,12,3,59,38.1
